gid,code,name,name_en,status,lon,lat
426,328,ขท.สุราษฎร์ธานีที่ 2 (กาญจนดิษฐ์),SURAT THANI 2 (KANCHANADIT) HIGHWAY DISTRICT,TRUE,99.52314053,9.157929283
427,329,ขท.สุราษฎร์ธานีที่ 3 (เวียงสระ),SURAT THANI 3 (WIANG SA) HIGHWAY DISTRICT,TRUE,99.351414,8.631399
381,441,ขท.สุพรรณบุรีที่ 1,SUPHAN BURI 1 HIGHWAY DISTRICT,TRUE,100.1218048,14.48220893
433,445,ขท.สุพรรณบุรีที่ 2 (อู่ทอง),SUPHAN BURI 2 (U THONG) HIGHWAY DISTRICT,TRUE,99.85461289,14.29395365
464,513,ขท.สุโขทัย,SUKHOTHAI HIGHWAY DISTRICT,TRUE,99.85844967,17.01819317
302,432,ขท.สระบุรี,SARABURI HIGHWAY DISTRICT,TRUE,100.9070913,14.54873416
437,619,ขท.สระแก้ว (วัฒนานคร),SA KAEO (WATTHANA NAKHON) HIGHWAY DISTRICT,TRUE,102.3217519,13.75573591
368,311,ขท.สงขลาที่ 1,SONGKHLA 1 HIGHWAY DISTRICT,TRUE,100.59346,7.20301
423,319,ขท.สงขลาที่ 2 (นาหม่อม),SONGKHLA 2 (NA MOM) HIGHWAY DISTRICT,TRUE,100.59345,7.20302
273,318,ขท.สตูล,SATUN HIGHWAY DISTRICT,TRUE,100.07185,6.67712
413,641,ขท.สกลนครที่ 1,SAKON NAKHON 1 HIGHWAY DISTRICT,TRUE,104.143065,17.170233
442,642,ขท.สกลนครที่ 2 (สว่างแดนดิน),SAKON NAKHON 2 (SAWANG DAEN DIN) HIGHWAY DISTRICT,TRUE,151.275181,17.47212759
419,332,ขท.ชุมพร,CHUMPHON HIGHWAY DISTRICT,TRUE,99.117568,10.550682
340,617,ขท.บุรีรัมย์,BURI RAM HIGHWAY DISTRICT,TRUE,103.092357,14.948785
373,422,ขท.ชลบุรีที่ 1,CHON BURI 1 HIGHWAY DISTRICT,TRUE,100.9888312,13.40414828
376,428,ขท.ชลบุรีที่ 2,CHON BURI 2 HIGHWAY DISTRICT,TRUE,100.915604,13.298757
346,626,ขท.ชัยภูมิ,CHAIYAPHUM HIGHWAY DISTRICT,TRUE,102.04521,15.820733
383,446,ขท.ชัยนาท,CHAI NAT HIGHWAY DISTRICT,TRUE,100.1291376,15.18952624
358,643,ขท.บึงกาฬ,BUENG KAN HIGHWAY DISTRICT,TRUE,103.621382,21.375799
444,321,ขท.นครศรีธรรมราชที่ 1,NAKHON SI THAMMARAT 1 HIGHWAY DISTRICT,TRUE,99.946816,8.434135
445,326,ขท.นครศรีธรรมราชที่ 2 (ทุ่งสง),NAKHON SI THAMMARAT 2 (THUNG SONG) HIGHWAY DISTRICT,TRUE,99.62266227,8.17968931
284,336,ขท.นครปฐม,NAKHON PATHOM HIGHWAY DISTRICT,TRUE,100.040581,13.805742
401,611,ขท.นครราชสีมาที่ 1,NAKHON RATCHASIMA 1 HIGHWAY DISTRICT,TRUE,102.111866,14.983448
402,612,ขท.นครราชสีมาที่ 2,NAKHON RATCHASIMA 2 HIGHWAY DISTRICT,TRUE,102.110783,14.983398
403,614,ขท.นครราชสีมาที่ 3,NAKHON RATCHASIMA 3 HIGHWAY DISTRICT,TRUE,102.1541667,14.91222222
379,437,ขท.นครสวรรค์ที่ 1,NAKHON SAWAN 1 HIGHWAY DISTRICT,TRUE,100.1356047,15.70938621
432,438,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),NAKHON SAWAN 2 (TAK FA) HIGHWAY DISTRICT,TRUE,100.5039295,15.33334944
289,414,ขท.นครนายก,NAKHON NAYOK HIGHWAY DISTRICT,TRUE,101.0367724,14.1824785
359,644,ขท.นครพนม,NAKHON PHANOM HIGHWAY DISTRICT,TRUE,104.793451,17.370357
272,317,ขท.นราธิวาส,NARATHIWAT HIGHWAY DISTRICT,TRUE,101.8174137,6.418611227
293,418,ขท.นนทบุรี,NONTHABURI HIGHWAY DISTRICT,TRUE,100.478681,13.87106
394,536,ขท.น่านที่ 1,NAN 1 HIGHWAY DISTRICT,TRUE,100.7565119,21.7513533
396,539,ขท.น่านที่ 2,NAN 2 HIGHWAY DISTRICT,TRUE,100.7505844,21.89014319
316,519,ขท.พิจิตร,PHICHIT HIGHWAY DISTRICT,TRUE,100.3719309,16.35667497
384,511,ขท.พิษณุโลกที่ 1,PHITSANULOK 1 HIGHWAY DISTRICT,TRUE,100.270275,16.81220627
434,515,ขท.พิษณุโลกที่ 2 (วังทอง),PHITSANULOK 2 (WANG THONG) HIGHWAY DISTRICT,TRUE,100.4846376,16.86626638
456,261,ขท.พิเศษระหว่างเมือง,INTER-CITY MOTORWAY DISTRICT,TRUE,100.784145,13.723354
422,327,ขท.พังงา,PHANGNGA HIGHWAY DISTRICT,TRUE,98.531313,8.458701
466,314,ขท.พัทลุง,PHATTHALUNG HIGHWAY DISTRICT,TRUE,100.071865,7.614615
328,535,ขท.พะเยา,PHAYAO HIGHWAY DISTRICT,TRUE,99.88200155,19.18461141
399,554,ขท.เลยที่ 1,LOEI 1 HIGHWAY DISTRICT,TRUE,101.720437,17.495454
436,555,ขท.เลยที่ 2 (ด่านซ้าย),LOEI 2 (DAN SAI) HIGHWAY DISTRICT,TRUE,101.138749,17.282798
393,533,ขท.เชียงรายที่ 1,CHIANG RAI 1 HIGHWAY DISTRICT,TRUE,99.83184209,19.9004657
395,537,ขท.เชียงรายที่ 2,CHIANG RAI 2 HIGHWAY DISTRICT,TRUE,100.3303893,19.46398476
388,521,ขท.เชียงใหม่ที่ 1,CHIANG MAI 1 HIGHWAY DISTRICT,TRUE,98.9745324,21.78860589
389,522,ขท.เชียงใหม่ที่ 2,CHIANG MAI 2 HIGHWAY DISTRICT,TRUE,99.03017716,21.76545262
391,527,ขท.เชียงใหม่ที่ 3,CHIANG MAI 3 HIGHWAY DISTRICT,TRUE,98.96076547,21.8537779
286,338,ขท.เพชรบุรี,PHETCHABURI HIGHWAY DISTRICT,TRUE,99.942916,13.1111
